P53762	MA0004.1
Q24206	MA0013.1
Q41801	MA0021.1
P15330	MA0022.1
P15330	MA0023.1
P20105	MA0026.1
P05084	MA0049.1
P38564	MA0053.1
Q02994	MA0054.1
O24463	MA0064.1
P26367	MA0069.1
P35398	MA0071.1
P11473	MA0074.1
P19793	MA0074.1
O22676	MA0096.1
O22677	MA0097.1
Q04864	MA0101.1
Q04206	MA0107.1
Q99MY0	MA0111.1
P19793	MA0115.1
P55055	MA0115.1
O08961	MA0116.1
P08651	MA0119.1
P31314	MA0119.1
Q8L7W9	MA0123.1
P25032	MA0128.1
P14232	MA0129.1
Q86Y25	MA0130.1
P20263	MA0142.1
P48432	MA0142.1
F1JVV7	MA0149.1
F1JVV8	MA0149.1
Q62431	MA0151.1
Q01101	MA0155.1
P10276	MA0159.1
P19793	MA0159.1
Q6DJT9	MA0163.1
P09087	MA0165.1
P02833	MA0166.1
Q8IRC7	MA0167.1
Q24255	MA0168.1
Q24256	MA0169.1
Q7KS72	MA0170.1
Q9VYL0	MA0171.1
Q9W3C6	MA0172.1
Q9VPL4	MA0173.1
Q9W064	MA0174.1
Q8MZ02	MA0175.1
Q9VDH9	MA0176.1
Q9VEA3	MA0177.1
Q9VTW5	MA0178.1
Q9VWH1	MA0179.1
Q9W4B3	MA0180.1
Q5U1D9	MA0181.1
Q9VTW3	MA0182.1
Q9VDF0	MA0183.1
P07548	MA0186.1
P20009	MA0187.1
Q03372	MA0188.1
P54366	MA0190.1
Q9NHP8	MA0191.1
Q9VEI9	MA0192.1
Q9W423	MA0193.1
Q9V472	MA0194.1
O61640	MA0196.1
O96616	MA0198.1
Q95RW8	MA0199.1
O18400	MA0201.1
Q9W2Q1	MA0202.1
P09077	MA0203.1
Q9Y1P6	MA0204.1
P29555	MA0206.1
A1Z916	MA0207.1
Q06453	MA0208.1
P29673	MA0209.1
Q24248	MA0210.1
P22809	MA0211.1
P09081	MA0212.1
Q9XTN4	MA0213.1
Q04787	MA0214.1
Q9U984	MA0215.1
P54269	MA0217.1
P10180	MA0218.1
P18488	MA0219.1
P02836	MA0220.1
P06602	MA0221.1
